id,title,status,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,average_rating,ratings_count,release_year
8619,Master and Commander: The Far Side of the World,Released,212011111,138,FALSE,/m11Mej9vbQqcXWgYrgPboCJ9NUh.jpg,150000000,http://www.masterandcommanderthefarsideoftheworld.com/,tt0311113,en,Master and Commander: The Far Side of the World,"After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",/s1cVTQEZYn4nSjZLnFbzLP0j8y2.jpg,The courage to do the impossible lies in the hearts of men.,"Adventure, Drama, War","Universal Pictures, Samuel Goldwyn Films, 20th Century Fox, Miramax",United States of America,"French, Portuguese, English","epic, ship, navy, based on novel or book, surgeon, royal navy, historical fiction, period drama, napoleonic wars, naturalist, frigate, self surgery, sea battle, weevil, high seas, naval warfare, 19th century, galapagos islands, galapagos, naval battle, english navy",7.132,2843,2003
382591,Two Is a Family,Released,1447740,118,FALSE,/fO0qXJnBJYuWJ5dvWWGXfRF8MXA.jpg,0,,tt5078204,fr,Demain tout commence,A man without attachments or responsibilities suddenly finds himself with an abandoned baby and leaves for London to try and find the mother. Eight years later after he and his daughter become inseparable Gloria's mother reappears.,/aFgtdhuzgI2eqnIVWtRB03x3pnt.jpg,,"Drama, Comedy","Mars Films, Poisson Rouge Pictures, TF1 Films Production, Korokoro, Vendôme Production","France, United Kingdom","English, French","london, england, single parent, parent child relationship, stuntman, remake, parenting, single father, lying, absent parent, frenchman abroad",7.749,2841,2016
82633,Lawless,Released,53676580,115,FALSE,/fEI7I233M9hkw1MRSBXEgauXhRl.jpg,26000000,http://lawless-film.com/,tt1212450,en,Lawless,"In 1931, the Bondurant brothers of Franklin County, Virginia, run a multipurpose backwoods establishment that hides their true business — bootlegging. Middle brother Forrest is the brain of the operation; older Howard is the brawn, and younger Jack, the lookout. Though the local police have taken bribes and left the brothers alone, a violent war erupts when a sadistic lawman from Chicago arrives and tries to shut down the Bondurants operation.",/Ahtzwts22ayviD3LEVslfL4nRWB.jpg,"When the law became corrupt, outlaws became heroes.","Crime, Drama, Western","The Weinstein Company, Benaroya Pictures, Yucaipa Films, Annapurna Pictures, Pie Films Inc., Red Wagon Entertainment, Revolt Films, Blum Hanson Allen Films, Blumhouse Productions",United States of America,English,"corruption, based on novel or book, prohibition era, brother, gangster, great depression, appalachia, bootlegging, shootout, brutality, church, tommy gun, moonshine, virginia, 1930s, lawman, brothers, violence",7.043,2832,2012
378236,The Emoji Movie,Released,216909830,86,FALSE,/kTrgxhRSj2sun89bDbnGCPBiey6.jpg,50000000,https://www.sonypictures.com/movies/theemojimovie,tt4877122,en,The Emoji Movie,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",/f5pF4OYzh4wb1dYL2ARQNdqUsEZ.jpg,Not easy being meh,"Animation, Family, Comedy","Columbia Pictures, Sony Pictures Animation, Beaver House Studios (KR)",United States of America,English,"parody, 3d animation, emoji",5.488,2832,2017
9029,What Happens in Vegas,Released,219375562,99,FALSE,/iJxccKHCe1vTXtCoFezYCWDk8On.jpg,35000000,,tt1033643,en,What Happens in Vegas,"During a wild vacation in Las Vegas, career woman Joy McNally and playboy Jack Fuller come to the sober realization that they have married each other after a night of drunken abandon. They are then compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",/x3yN37OKHOzqnwa5sum8Ut4nobY.jpg,Get Lucky,"Comedy, Romance","Penn Station Entertainment, Regency Enterprises, 21 Laps Entertainment, Dune Entertainment III, Mosaic Media Group, 20th Century Fox, Monarchy Enterprises B.V.",United States of America,"English, Serbo-Croatian","hotel, casino, roommate, romantic comedy, rivalry, wedding, las vegas, drinking, opposites attract, aftercreditsstinger, marriage counselling, accidental marriage, vegas wedding, credits cookie",6.081,2828,2008
68730,Silence,Released,23737523,161,FALSE,/cC3K1blQJhDIKdE9GQrvrWtn6ju.jpg,46000000,http://www.silencemovie.com/,tt0490215,en,Silence,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",/x5T0cQDYws0xRBVG4Q3wpcrcmax.jpg,Sometimes silence is the deadliest sound.,"Drama, History","Waypoint Entertainment, Cappa Defina Productions, CatchPlay, Fábrica de Cine, SharpSword Films, Sikelia Productions, EFO Films","Mexico, Taiwan, United States of America","Japanese, English","japan, based on novel or book, christianity, missionary, remake, betrayal, torture, martyrdom, crisis of faith, portuguese, jesuits (society of jesus), 17th century, shogunate, religious persecution, religious icon, apostasy",7.119,2822,2016
22804,Saw VI,Released,68234154,90,FALSE,/28Py2yEcdwe9gjDo9KU8tfKXwcv.jpg,11000000,http://www.saw6film.com/,tt1233227,en,Saw VI,"Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood.",/6lSBajR9hahr8JPLH0ErQnPdgtH.jpg,The game has come full circle.,"Horror, Thriller","Lionsgate, Twisted Pictures, Mandate Pictures","Canada, United States of America",English,"sacrifice, sadism, fbi, apprentice, murder, torture, killer, agent, death, survival horror, death match, aftercreditsstinger, mind game, healthcare, death game, foreboding",6.3,2820,2009
119283,Parker,Released,46216641,118,FALSE,/qGtuuNro6M8Q3VFvmGJwFkg9bns.jpg,35000000,,tt1904996,en,Parker,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",/u1cl4RsdqMjolVVsHwiLRPN1CT2.jpg,"To get away clean, you have to play dirty.","Action, Crime","Incentive Filmed Entertainment, Sierra/Affinity, Alexander/Mitchell Productions, Current Entertainment, Sidney Kimmel Entertainment, Anvil Films",United States of America,English,"based on novel or book, real estate agent, professional thief, jewel robbery, parker, palm beach, florida",6.018,2816,2013
443791,Underwater,Released,40882928,95,FALSE,/ww7eC3BqSbFsyE5H5qMde8WkxJ2.jpg,50000000,https://www.20thcenturystudios.com/movies/underwater,tt5774060,en,Underwater,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",/gzlbb3yeVISpQ3REd3Ga1scWGTU.jpg,7 miles below the ocean surface something has awakened,"Horror, Science Fiction, Action, Adventure","Chernin Entertainment, 20th Century Fox, TSG Entertainment",United States of America,English,"monster, self sacrifice, deep sea, animal attack, giant monster, earthquake, survival, nuclear explosion, disaster, cryptozoology, female protagonist, underwater, survival horror, animal killing, creature feature, mechanical engineering, researcher, trapped underwater , 2050s",6.298,2813,2020
576845,Last Night in Soho,Released,22957625,117,FALSE,/nZP1rGsOh3G2HbYfRqO58zg0V4Y.jpg,43000000,https://www.focusfeatures.com/last-night-in-soho,tt9639470,en,Last Night in Soho,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",/ahbwIJl7T0D34m3sPKlBaCqs2xH.jpg,"When the past lets you in, the truth will come out.","Mystery, Thriller, Horror","Film4 Productions, Working Title Films, Complete Fiction, Perfect World Pictures, Focus Features",United Kingdom,English,"london, england, nightmare, go-go dancer, time travel, nostalgia, fashion designer, murder, soho london, clairvoyant, fashion design, 1960s, mirror, pub",7.375,2812,2021
249070,Hitman: Agent 47,Released,81967450,96,FALSE,/3gjYzFP2w2bx6srcZkfS667jnl0.jpg,35000000,http://www.foxmovies.com/movies/hitman-agent-47,tt2679042,en,Hitman: Agent 47,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,/52NXkgvzRYjRnqRPpqjpiwsIgRG.jpg,Your Number is Up.,"Action, Crime, Thriller","Daybreak Productions, Prime Universe Productions, Giant Pictures, TSG Entertainment, Dayday Films, Ingenious Media, Fox International Productions, Deutscher Filmförderfonds, 20th Century Fox, Medienboard Berlin-Brandenburg","Indonesia, Germany, United States of America",English,"assassin, hitman, secret identity, intelligence, execution, killer, based on video game",5.83,2812,2015
9471,Charlie's Angels: Full Throttle,Released,259175788,106,FALSE,/7r8X5peJWDoNRolmBVkyHqX1L1K.jpg,120000000,https://www.sonypictures.com/movies/charliesangelsfullthrottle,tt0305357,en,Charlie's Angels: Full Throttle,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",/n4cdJ0Wqxb7C0HmZbcaC4eYnkIf.jpg,This summer the Angels are back.,"Action, Adventure, Comedy","Wonderland Sound and Vision, Tall Trees Productions, Flower Films, Columbia Pictures",United States of America,"English, Mandarin, Spanish","martial arts, robbery, undercover agent, spy, secret identity, villainess, secret agent, organized crime, los angeles, california, heroine, spy hero, based on tv series",5.455,2811,2003
588228,The Tomorrow War,Released,14400000,138,FALSE,/yizL4cEKsVvl17Wc1mGEIrQtM2F.jpg,200000000,https://www.amazon.com/dp/B093CQZ2SM,tt9777666,en,The Tomorrow War,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg,The fight for tomorrow begins today.,"Action, Science Fiction, Adventure","Skydance, Phantom Four, Lit Entertainment Group",United States of America,English,"world cup, time travel, global warming, glacier, alien, alien invasion, military, future war, father son reunion, hope for future, changing the past or future, message from the future, father son relationship, father daughter relationship, world war",7.572,2806,2021
